language,question,response
hindi,"पौधे कैसे बढ़ते हैं?","पौधे सूरज की रोशनी, पानी और हवा से बढ़ते हैं। उनकी जड़ें मिट्टी से पानी लेती हैं। पत्तियाँ सूरज की रोशनी से भोजन बनाती हैं (प्रकाश संश्लेषण)। तना पानी और पोषक तत्वों को पूरे पौधे में ले जाता है।"
english,"Why is the sky blue?","The sky looks blue because of how sunlight interacts with our atmosphere. Sunlight contains all colors, but blue light is scattered in all directions more than other colors by the gases in the air. This makes the sky appear blue to our eyes!"
hindi,"बारिश कैसे होती है?","बारिश जल चक्र का हिस्सा है: 1. सूरज की गर्मी से पानी वाष्प बनकर उड़ता है 2. यह वाष्प ठंडा होकर बादल बनाता है 3. जब बादल भारी हो जाते हैं, तो बूंदों के रूप में पानी वापस नीचे गिरता है - यही बारिश है!"
marathi,"पाऊस कसा पडतो?","पाऊस पाण्याच्या चक्रातून पडतो: 1. सूर्यप्रकाशामुळे पाण्याची बाष्पीभवन होते 2. ही वाफ थंड होऊन ढग तयार होतात 3. जेव्हा ढग गर्द होतात तेव्हा पाण्याच्या थेंबांमध्ये रूपांतर होऊन पाऊस पडतो"
spanish,"¿Por qué las hojas cambian de color?","Las hojas cambian de color en otoño porque los árboles dejan de producir clorofila (el pigmento verde). Esto revela otros pigmentos como carotenoides (amarillo/naranja) y antocianinas (rojo/morado) que estaban enmascarados por el verde durante el verano."
hindi,"सूरज गर्म क्यों होता है?","सूरज एक विशाल गैस का गोला है जिसमें नाभिकीय संलयन (न्यूक्लियर फ्यूजन) होता रहता है। हाइड्रोजन परमाणु मिलकर हीलियम बनाते हैं, जिससे भारी मात्रा में ऊर्जा और गर्मी पैदा होती है। यही गर्मी और रोशनी हम तक पहुँचती है।"
english,"How do airplanes fly?","Airplanes fly through four main forces: 1) Lift (created by wing shape moving through air) 2) Thrust (from engines) 3) Drag (air resistance) 4) Gravity. When lift exceeds weight and thrust exceeds drag, the plane can rise. Wings are shaped to create lower pressure above than below."
marathi,"विद्युत प्रवाह म्हणजे काय?","विद्युत प्रवाह म्हणजे इलेक्ट्रॉन्सचा प्रवाह. जेव्हा वायरमध्ये व्होल्टेज लागू केले जाते तेव्हा इलेक्ट्रॉन्स उच्च ते निम्न विभवाकडे वाहतात. हे इलेक्ट्रॉन्सचे प्रवाहित होणे म्हणजे विद्युतप्रवाह. तो अँपिअर (A) या एककात मोजला जातो."
hindi,"बिजली कैसे चमकती है?","बिजली चमकने का कारण बादलों में विपरीत आवेशों का जमा होना है। जब ऋणात्मक और धनात्मक आवेशों के बीच का तनाव बहुत अधिक हो जाता है, तो विद्युत निर्वहन होता है जो हवा को गर्म कर देता है और चमकदार प्रकाश (बिजली) पैदा करता है।"
english,"Why do we yawn?","The exact reason for yawning isn't fully understood, but theories include: 1) Brain cooling 2) Increasing oxygen intake 3) Social communication of tiredness 4) Ear pressure regulation. Interestingly, yawning is contagious among humans and some animals - seeing someone yawn often triggers our own."
tamil,"மழை எப்படி பெய்கிறது?","மழை நீர் சுழற்சியின் ஒரு பகுதியாக பெய்கிறது: 1. சூரிய வெப்பம் நீரை ஆவியாக மாற்றுகிறது 2. இந்த ஆவி குளிர்ந்து மேகங்களாக மாறுகிறது 3. மேகங்கள் கனமாகும்போது, நீர் துளிகளாக மீண்டும் பூமியில் விழுகிறது - இதுவே மழை!"