content_type,grade,difficulty,example_questions,topic
math,Grade 1,Easy,"1. Count the apples: 🍎🍎🍎\n2. Add: 2 + 3 = __\n3. Circle the bigger number: 5 or 7","Basic Counting"
math,Grade 2,Medium,"1. Solve: 15 - 7 = __\n2. Complete the pattern: 2, 4, 6, __\n3. How many sides does a triangle have?","Arithmetic"
science,Grade 3,Easy,"1. Name two animals that live in water\n2. True/False: Plants need sunlight to grow\n3. Match the body parts to their functions","Animals and Plants"
science,Grade 4,Hard,"1. Explain the water cycle in your own words\n2. What are the three states of matter?\n3. Design an experiment to show air has weight","States of Matter"
hindi,Grade 1,Easy,"1. 'आम' का पहला अक्षर लिखो\n2. इनमें से फल को पहचानो: 🍎 🚗 🌳\n3. 'मम्मी' शब्द को दोबारा लिखो","Basic Hindi"
english,Grade 5,Medium,"1. Identify the verb in: 'The dog barked loudly'\n2. Write the past tense of 'run'\n3. Write 3 adjectives to describe your school","Grammar"
math,Grade 3,Medium,"1. Solve: 24 ÷ 6 = __\n2. What time is shown on the clock (🕒)?\n3. Measure this line in cm: ________","Division & Measurement"
science,Grade 5,Hard,"1. Label the parts of a flower\n2. What happens to metal when heated?\n3. Explain why we see lightning before thunder","Physics & Biology"
hindi,Grade 3,Medium,"1. 'स्कूल' का विलोम शब्द लिखो\n2. इस वाक्य को पूरा करो: 'मैं रोज _______'\n3. नीचे दिए गए चित्र का वर्णन करो (🌞)","Vocabulary Building"
english,Grade 2,Easy,"1. Circle the noun: 'The cat jumps'\n2. Write the plural of 'box'\n3. Complete: A for ____, B for ____","Basic Grammar"
social,Grade 4,Medium,"1. Name three Indian freedom fighters\n2. What does a policeman do?\n3. Draw the Indian flag correctly","Indian History"
math,Grade 5,Hard,"1. Solve: 3/4 + 1/2 = __\n2. Calculate the area of a 5cm x 3cm rectangle\n3. If x + 7 = 15, find x","Fractions & Algebra"
hindi,Grade 5,Hard,"1. 'स्वच्छता अभियान' पर 5 वाक्य लिखो\n2. इस मुहावरे का अर्थ लिखो: 'आँख का तारा'\n3. निबंध: 'मेरा प्रिय त्योहार'","Composition"
science,Grade 2,Easy,"1. Name two things plants need to grow\n2. Which animal gives us milk?\n3. Draw a happy face near things we can recycle (♻️)","Environmental Science"
english,Grade 3,Medium,"1. Write the opposite of 'happy'\n2. Punctuate: where are you going\n3. Write a letter to your friend about your hobby","Creative Writing"
math,Grade 4,Hard,"1. Solve: 125 × 8 = __\n2. Convert: 2km = ___ meters\n3. List all factors of 12","Advanced Arithmetic"
social,Grade 1,Easy,"1. What do you call your father's father?\n2. Circle vehicles you see on roads: 🚗 ✈️ 🚌\n3. What color is the sun in your drawing?","Family & Community"
art,Grade 3,Easy,"1. Draw a pattern using ◻ and △\n2. What colors make purple?\n3. Create a rangoli design with symmetry","Creative Arts"
english,Grade 4,Medium,"1. Identify the metaphor: 'Time is a thief'\n2. Write a dialogue between sun and moon\n3. Correct: 'She go to school yesterday'","Figurative Language"